com_nam,lin_ima,rep_typ,com_typ,com_des,fil_fre,add,cit,sta,zip,tre_nam,com_id,fec_ele_yea,ind_ite_con,ind_uni_con,ind_con,ind_ref,par_com_con,oth_com_con,oth_com_ref,can_con,tot_con,tot_con_ref,can_loa,can_loa_rep,oth_loa,oth_loa_rep,tot_loa,tot_loa_rep,tra_fro_oth_aut_com,tra_fro_non_fed_acc,tra_fro_non_fed_lev_acc,tot_non_fed_tra,oth_rec,tot_rec,tot_fed_rec,ope_exp,sha_fed_ope_exp,sha_non_fed_ope_exp,tot_ope_exp,off_to_ope_exp,fed_sha_of_joi_act,non_fed_sha_of_joi_act,non_all_fed_ele_act_par,tot_fed_ele_act,fed_can_com_con,fed_can_con_ref,ind_exp_mad,coo_exp_par,loa_mad,loa_rep_rec,tra_to_oth_aut_com,fun_dis,off_to_fun_exp_pre,exe_leg_acc_dis_pre,off_to_leg_acc_exp_pre,tot_off_to_ope_exp,oth_dis,tot_fed_dis,tot_dis,net_con,net_ope_exp,cas_on_han_beg_of_per,cas_on_han_clo_of_per,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,pol_par_com_ref,can_id,cas_on_han_beg_of_yea,cas_on_han_clo_of_yea,exp_sub_to_lim_pri_yea_pre,exp_sub_lim,fed_fun,ite_con_exp_con_com,ite_oth_dis,ite_oth_inc,ite_oth_ref_or_reb,ite_ref_or_reb,oth_fed_ope_exp,sub_con_exp,sub_oth_ref_or_reb,sub_ref_or_reb,tot_com_cos,tot_exp_sub_to_lim_pre,uni_con_exp,uni_oth_dis,uni_oth_inc,uni_oth_ref_or_reb,uni_ref_or_reb
CASPERSON FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00435420,Q2,H,P,Q,P.O. BOX 495,ESCANABA,MI,49829,JUDI SKRADSKI,C00435420,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,759.05","$12,759.05","$22,569.74",,2015-04-01,2015-06-30,,H8MI01107,,,,,,,,,,,,,,,,,,,,,
CASSIE FELDER CAMPAIGN LLC,http://images.nictusa.com/cgi-bin/fecimg/?C00552380,Q1,H,P,Q,263 3RD STREET SUITE 308,BATON ROUGE,LA,70801,"DORSA, COREY WILLIAM",C00552380,2016,,,,,,,,,,,,,,,,,,,,,,"$2,400.00",,$927.20,,,,"$2,400.00",,,,,,,,,,,,,,,,,,,$927.20,,"-$1,472.80","$3,003.07","$4,475.87",,,2015-01-01,2015-03-31,,H4LA06104,,,,,,,,,,,,,,,,,,,,,
CASSIE FELDER CAMPAIGN LLC,http://images.nictusa.com/cgi-bin/fecimg/?C00552380,Q2,H,P,Q,263 3RD STREET SUITE 308,BATON ROUGE,LA,70801,"DORSA, COREY WILLIAM",C00552380,2016,,$160.00,$160.00,,,,,,$160.00,,,,,,,,,,,,,$160.00,,"$4,121.58",,,,,,,,,,,,,,,,,,,,,,,"$4,121.58",$160.00,"$4,121.58","$4,475.87",$514.29,,,2015-04-01,2015-06-30,,H4LA06104,,,,,,,,,,,,,,,,,,,,,
CASTEEN FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00562314,Q1,H,P,Q,PO BOX 12028,WILMINGTON,NC,28405,ROBERT EARL POOLE II CPA,C00562314,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-01,2015-03-31,,H4NC07100,,,,,,,,,,,,,,,,,,,,,
CASTEEN FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00562314,TER,H,P,Q,PO BOX 12028,WILMINGTON,NC,28405,ROBERT EARL POOLE II CPA,C00562314,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-01,2015-06-30,,H4NC07100,,,,,,,,,,,,,,,,,,,,,
CASTILLO FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00460980,Q1,H,P,Q,P O BOX 57,NEW PORT RICHEY,FL,34656,"HOBBS, CABELL",C00460980,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$433.11,$433.11,"$30,519.83",,2015-01-01,2015-03-31,,H0WA03138,,,,,,,,,,,,,,,,,,,,,
CASTILLO FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00460980,Q2,H,P,Q,P O BOX 57,NEW PORT RICHEY,FL,34656,"HOBBS, CABELL",C00460980,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$433.11,$433.11,"$30,519.83",,2015-04-01,2015-06-30,,H0WA03138,,,,,,,,,,,,,,,,,,,,,
CASTOR FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00410761,Q1,H,P,Q,"301 W PLATT STREET, #385",TAMPA,FL,33606,"DIAMOND, AMY",C00410761,2016,"$5,550.00","$5,250.00","$10,800.00",,,"$11,000.00",,,"$21,800.00",,,,,,,,,,,,$694.90,"$22,494.90",,"$29,336.11",,,,,,,,,,,,,,,,,,,,,"$25,000.00",,"$54,336.11","$21,800.00","$29,336.11","$754,373.84","$722,532.63",,,2015-01-01,2015-03-31,,H6FL11126,,,,,,,,,,,,,,,,,,,,,
CASTOR FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00410761,Q2,H,P,Q,"301 W PLATT STREET, #385",TAMPA,FL,33606,"DIAMOND, AMY",C00410761,2016,"$86,896.00","$7,095.00","$93,991.00",,,"$40,250.00",,,"$134,241.00",,,,,,,,,,,,$703.33,"$134,944.33",,"$60,154.05",,,,,,,,,,,,,,,,,,,,,,,"$60,154.05","$134,241.00","$60,154.05","$722,532.63","$797,322.91",,,2015-04-01,2015-06-30,,H6FL11126,,,,,,,,,,,,,,,,,,,,,
CASTRO FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00497933,Q1,H,P,Q,PO BOX 544,SAN ANTONIO,TX,78292,"VILLAREAL, JOSE H. MR.",C00497933,2016,"$89,893.15","$9,735.37","$99,628.52",$70.00,,"$45,500.00",,,"$145,128.52",$70.00,,,,,,,,,,,,"$149,538.69",,"$63,728.00",,,,"$4,410.17",,,,,,,,,,,,,,,,,"$41,850.00",,"$105,648.00","$145,058.52","$59,317.83","$260,558.85","$304,449.54",,,2015-01-01,2015-03-31,,H2TX35011,,,,,,,,,,,,,,,,,,,,,
