com_nam,lin_ima,rep_typ,com_typ,com_des,fil_fre,add,cit,sta,zip,tre_nam,com_id,fec_ele_yea,ind_ite_con,ind_uni_con,ind_con,ind_ref,par_com_con,oth_com_con,oth_com_ref,can_con,tot_con,tot_con_ref,can_loa,can_loa_rep,oth_loa,oth_loa_rep,tot_loa,tot_loa_rep,tra_fro_oth_aut_com,tra_fro_non_fed_acc,tra_fro_non_fed_lev_acc,tot_non_fed_tra,oth_rec,tot_rec,tot_fed_rec,ope_exp,sha_fed_ope_exp,sha_non_fed_ope_exp,tot_ope_exp,off_to_ope_exp,fed_sha_of_joi_act,non_fed_sha_of_joi_act,non_all_fed_ele_act_par,tot_fed_ele_act,fed_can_com_con,fed_can_con_ref,ind_exp_mad,coo_exp_par,loa_mad,loa_rep_rec,tra_to_oth_aut_com,fun_dis,off_to_fun_exp_pre,exe_leg_acc_dis_pre,off_to_leg_acc_exp_pre,tot_off_to_ope_exp,oth_dis,tot_fed_dis,tot_dis,net_con,net_ope_exp,cas_on_han_beg_of_per,cas_on_han_clo_of_per,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,pol_par_com_ref,can_id,cas_on_han_beg_of_yea,cas_on_han_clo_of_yea,exp_sub_to_lim_pri_yea_pre,exp_sub_lim,fed_fun,ite_con_exp_con_com,ite_oth_dis,ite_oth_inc,ite_oth_ref_or_reb,ite_ref_or_reb,oth_fed_ope_exp,sub_con_exp,sub_oth_ref_or_reb,sub_ref_or_reb,tot_com_cos,tot_exp_sub_to_lim_pre,uni_con_exp,uni_oth_dis,uni_oth_inc,uni_oth_ref_or_reb,uni_ref_or_reb
 ADDIVINOLA COMMITTEE; THE,http://images.nictusa.com/cgi-bin/fecimg/?C00523332,Q1,S,P,Q,6 LIBERTY SQUARE #11,BOSTON,MA,2109,ANGELICA ADDIVINOLA,C00523332,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,331.00","$103,331.00","$58,047.00",,2015-01-01,2015-03-31,,H2MA05120,,,,,,,,,,,,,,,,,,,,,
 ADDIVINOLA COMMITTEE; THE,http://images.nictusa.com/cgi-bin/fecimg/?C00523332,Q2,S,P,Q,6 LIBERTY SQUARE #11,BOSTON,MA,2109,ANGELICA ADDIVINOLA,C00523332,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,331.00","$103,331.00","$58,047.00",,2015-04-01,2015-06-30,,H2MA05120,,,,,,,,,,,,,,,,,,,,,
A LOT OF PEOPLE FOR DAVE OBEY,http://images.nictusa.com/cgi-bin/fecimg/?C00017830,Q1,H,P,T,3242 CUMMINS WAY,MISSOULA,MT,59802,VIRGINIA GARNER-GERHARDT,C00017830,2016,,,,,,,,,,,,,,,,,,,,,,,,"$59,597.91",,,,,,,,,,,,,,,,,,,,,,,"$59,597.91",,"$59,597.91","$72,210.20","$12,612.29",,,2015-01-01,2015-03-31,,H6WI07033,,,,,,,,,,,,,,,,,,,,,
A LOT OF PEOPLE FOR DAVE OBEY,http://images.nictusa.com/cgi-bin/fecimg/?C00017830,Q2,H,P,T,3242 CUMMINS WAY,MISSOULA,MT,59802,VIRGINIA GARNER-GERHARDT,C00017830,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,612.29","$12,612.29",,,2015-04-01,2015-06-30,,H6WI07033,,,,,,,,,,,,,,,,,,,,,
A LOT OF PEOPLE FOR DAVE OBEY,http://images.nictusa.com/cgi-bin/fecimg/?C00017830,TER,H,P,T,3242 CUMMINS WAY,MISSOULA,MT,59802,VIRGINIA GARNER-GERHARDT,C00017830,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,612.29","$12,612.29",,,2015-07-01,2015-08-04,,H6WI07033,,,,,,,,,,,,,,,,,,,,,
A WHOLE LOT OF PEOPLE FOR GRIJALVA CONGRESSIONAL COMMITTEE,http://images.nictusa.com/cgi-bin/fecimg/?C00374058,Q1,H,P,Q,PO BOX 1242,TUCSON,AZ,85702,"CASTILLO, MAYA",C00374058,2016,"$18,825.00","$13,494.19","$32,319.19",,,"$9,500.00",,,"$41,819.19",,,,,,,,,,,,,"$41,819.19",,"$37,474.38",,,,,,,,,,,,,,,,,,,,,"$5,200.00",,"$42,674.38","$41,819.19","$37,474.38","$36,088.02","$35,232.83","$18,748.56",,2015-01-01,2015-03-31,,H2AZ07070,,,,,,,,,,,,,,,,,,,,,
A WHOLE LOT OF PEOPLE FOR GRIJALVA CONGRESSIONAL COMMITTEE,http://images.nictusa.com/cgi-bin/fecimg/?C00374058,Q2,H,P,Q,PO BOX 1242,TUCSON,AZ,85702,"CASTILLO, MAYA",C00374058,2016,"$15,925.00","$7,553.32","$23,478.32",$178.50,,"$27,518.00","$1,000.00",,"$50,996.32","$1,178.50",,,,,,,,,,,,"$51,372.97",,"$41,326.37",,,,$376.65,,,,,,,,,,,,,,,,,"$4,250.00",,"$46,754.87","$49,817.82","$40,949.72","$35,232.83","$39,850.93","$15,248.56",,2015-04-01,2015-06-30,,H2AZ07070,,,,,,,,,,,,,,,,,,,,,
ABEL MALDONADO FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00493379,Q1,H,P,Q,PO BOX 5325,SANTA MARIA,CA,934565325,"LAWLER, KELLY",C00493379,2016,,,,,,,,,,,,,,,,,,,,,,,,$65.57,,,,,,,,,,,,,,,,,,,,,,,$65.57,,$65.57,"$2,720.25","$2,654.68",,,2015-01-01,2015-03-31,,H2CA23106,,,,,,,,,,,,,,,,,,,,,
ABEL MALDONADO FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00493379,Q2,H,P,Q,PO BOX 5325,SANTA MARIA,CA,934565325,"LAWLER, KELLY",C00493379,2016,,,,,,,,,,,,,,,,,,,,,,,,$66.08,,,,,,,,,,,,,,,,,,,,,,,$66.08,,$66.08,"$2,654.68","$2,588.60",,,2015-04-01,2015-06-30,,H2CA23106,,,,,,,,,,,,,,,,,,,,,
ABELER4SENATE,http://images.nictusa.com/cgi-bin/fecimg/?C00546630,Q1,S,P,Q,600 EAST MAIN STREET,ANOKA,MN,55303,BART J WARD,C00546630,2016,,$180.00,$180.00,,,,,,$180.00,,,,,,,,,,,,,$180.00,,$303.00,,,,,,,,,,,,,,,,,,,,,,,$303.00,$180.00,$303.00,"$18,919.00","$18,795.00",$548.00,,2015-01-01,2015-03-31,,S4MN00353,,,,,,,,,,,,,,,,,,,,,
ADAM CLAYTON POWELL FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00542761,Q1,H,P,Q,420 EAST 117TH STREET,NEW YORK,NY,10035,MARK JAY WEINSTEIN,C00542761,2016,"$49,856.00","$7,500.00","$57,356.00",,,$500.00,,,"$57,856.00",,,,,,,,,,,,,"$57,856.00",,"$24,037.77",,,,,,,,,,,,,,,,,,,,,"$1,363.38",,"$25,401.15","$57,856.00","$24,037.77","$25,797.90","$58,252.75",,,2015-01-01,2015-03-31,,H4NY15071,,,,,,,,,,,,,,,,,,,,,
ADAM CLAYTON POWELL FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00542761,Q2,H,P,Q,420 EAST 117TH STREET,NEW YORK,NY,10035,MARK JAY WEINSTEIN,C00542761,2016,"$21,862.51","$5,518.00","$27,380.51",,,,,,"$27,380.51",,,,,,,,,,,,,"$27,565.11",,"$20,171.07",,,,$184.60,,,,,,,,,,,,,,,,,$640.89,,"$20,811.96","$27,380.51","$19,986.47","$58,352.75","$65,105.90",,,2015-04-01,2015-06-30,,H4NY15071,,,,,,,,,,,,,,,,,,,,,
ADAM NICK FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00562710,TER,H,P,T,25422 TRABUCO ROAD #105-255,LAKE FOREST,CA,926302791,KELLY LAWLER,C00562710,2016,,,,,,,,"$17,650.23","$17,650.23",,,"$10,000.00",,,,"$10,000.00",,,,,,"$17,650.23",,"$11,520.05",,,,,,,,,,,,,,,,,,,,,,,"$21,520.05","$17,650.23","$11,520.05","$3,869.82",,,,2015-01-01,2015-03-31,,H4CA46129,,,,,,,,,,,,,,,,,,,,,
ADAM SMITH FOR CONGRESS COMMITTEE,http://images.nictusa.com/cgi-bin/fecimg/?C00304709,Q1,H,P,Q,PO BOX 578,RENTON,WA,98057,"PETTERSON, JAY",C00304709,2016,"$5,000.00","$3,175.00","$8,175.00",,,"$28,500.00",,,"$36,675.00",,,,,,,,,,,,$476.65,"$37,255.68",,"$51,855.95",,,,$104.03,,,,,,,,,,,,,,,,,"$3,075.00",,"$54,930.95","$36,675.00","$51,751.92","$579,496.88","$561,821.61",,,2015-01-01,2015-03-31,,H6WA09025,,,,,,,,,,,,,,,,,,,,,
ADAM SMITH FOR CONGRESS COMMITTEE,http://images.nictusa.com/cgi-bin/fecimg/?C00304709,Q2,H,P,Q,PO BOX 578,RENTON,WA,98057,"PETTERSON, JAY",C00304709,2016,"$46,317.00","$3,705.00","$50,022.00",,,"$105,000.00",$750.00,,"$155,022.00",$750.00,,,,,,,,,,,$310.47,"$155,332.47",,"$64,680.75",,,,,,,,,,,,,,,,,,,,,"$7,325.00",,"$72,755.75","$154,272.00","$64,680.75","$561,821.61","$644,398.33",,,2015-04-01,2015-06-30,,H6WA09025,,,,,,,,,,,,,,,,,,,,,
ADRIAN SMITH FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00412890,Q1,H,P,Q,3321 AVENUE I SUITE 6,SCOTTSBLUFF,NE,693614587,"GOMPERT, LENORA S MRS.",C00412890,2016,"$7,575.00","$4,333.50","$11,908.50",,,"$78,750.00",,,"$90,658.50",,,,,,,,,,,,$281.11,"$90,939.61",,"$52,480.26",,,,,,,,,,,,,,,,,,,,,"$15,000.00",,"$67,480.26","$90,658.50","$52,480.26","$784,439.23","$807,898.58",,,2015-01-01,2015-03-31,,H6NE03115,,,,,,,,,,,,,,,,,,,,,
ADRIAN SMITH FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00412890,Q2,H,P,Q,3321 AVENUE I SUITE 6,SCOTTSBLUFF,NE,693614587,"GOMPERT, LENORA S MRS.",C00412890,2016,"$48,325.00","$3,466.00","$51,791.00",,"$1,000.00","$162,500.00",,,"$215,291.00",,,,,,,,,,,,$298.98,"$218,572.62",,"$44,156.39",,,,"$2,982.64",,,,,,,,,,,,,,,,,"$50,000.00",,"$94,156.39","$215,291.00","$41,173.75","$807,898.58","$932,314.81",,,2015-04-01,2015-06-30,,H6NE03115,,,,,,,,,,,,,,,,,,,,,
AELEA FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00558304,TER,H,P,T,PO BOX 7042,BEND,OR,97708,"NEELY, KEVIN",C00558304,2016,,,,,,,,,,,,,,,,,,,,,,,,$719.40,,,,,,,,,,,,,,,,,,,,,,,$719.40,,$719.40,$719.40,,"$10,000.00",,2015-01-01,2015-03-31,,H4OR02178,,,,,,,,,,,,,,,,,,,,,
AIMEE BELGARD FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00550103,Q1,H,P,Q,418 COTTAGE AVE.,EDGEWATER PARK,NJ,8010,"FRIEDMAN, SANDER",C00550103,2016,,,,,,,,,,,,,,,,,,,,,,,,"$3,383.61",,,,,,,,,,,,,,,,,,,,,,,"$3,383.61",,"$3,383.61","$11,315.25","$7,931.64",,,2015-01-01,2015-03-31,,H4NJ03106,,,,,,,,,,,,,,,,,,,,,
AIMEE BELGARD FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00550103,Q2,H,P,Q,418 COTTAGE AVE.,EDGEWATER PARK,NJ,8010,"FRIEDMAN, SANDER",C00550103,2016,,,,$50.00,,,,,,$50.00,,,,,,,,,,,,$.02,,,,,,$.02,,,,,,,,,,,,,,,,,,,$50.00,-$50.00,-$.02,"$7,931.64","$7,881.66",,,2015-04-01,2015-06-30,,H4NJ03106,,,,,,,,,,,,,,,,,,,,,
AKRAM FOR CONGRESS INC,http://images.nictusa.com/cgi-bin/fecimg/?C00373183,Q1,H,P,T,2-4 GARBER SQUARE,RIDGEWOOD,NJ,7450,NANCY SCHEUERMANN,C00373183,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-01,2015-03-31,,H2NJ05238,,,,,,,,,,,,,,,,,,,,,
AKRAM FOR CONGRESS INC,http://images.nictusa.com/cgi-bin/fecimg/?C00373183,Q2,H,P,T,2-4 GARBER SQUARE,RIDGEWOOD,NJ,7450,NANCY SCHEUERMANN,C00373183,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-01,2015-06-30,,H2NJ05238,,,,,,,,,,,,,,,,,,,,,
AL FRANKEN FOR SENATE ,http://images.nictusa.com/cgi-bin/fecimg/?C00570960,Q1,S,P,Q,PO BOX 583144,MINNEAPOLIS,MN,55458,THOMAS BORMAN,C00570960,2016,"$44,826.00","$243,865.00","$288,692.00",$953.00,,"$1,000.00",,,"$289,692.00",$953.00,,,,,,,"$47,849.00",,,,"$1,311.00","$341,550.00",,"$119,912.00",,,,"$2,697.00",,,,,,,,,,,,,,,,,"$27,889.00",,"$148,754.00","$288,739.00","$117,214.00",,"$192,796.00",,,2015-01-01,2015-03-31,,S8MN00438,,,,,,,,,,,,,,,,,,,,,
AL FRANKEN FOR SENATE ,http://images.nictusa.com/cgi-bin/fecimg/?C00570960,Q2,S,P,Q,PO BOX 583144,MINNEAPOLIS,MN,55458,THOMAS BORMAN,C00570960,2016,"$70,467.00","$294,783.00","$365,250.00","$1,533.00",,"$7,750.00",,,"$373,000.00","$1,533.00",,,,,,,"$47,550.00",,,,"$20,794.00","$441,613.00",,"$260,640.00",,,,$267.00,,,,,,,,,,,$100.00,,,,,,"$12,743.00",,"$275,016.00","$371,467.00","$260,372.00","$192,796.00","$359,392.00",,,2015-04-01,2015-06-30,,S8MN00438,,,,,,,,,,,,,,,,,,,,,
AL FRANKEN FOR SENATE 2014,http://images.nictusa.com/cgi-bin/fecimg/?C00480384,Q1,S,A,Q,PO BOX 583144,MINNEAPOLIS,MN,55458,THOMAS H BORMAN,C00480384,2016,$500.00,"$5,550.00","$6,050.00",$225.00,,,,,"$6,050.00",$225.00,,,,,,,,,,,"$1,391.00","$14,962.00",,"$167,356.00",,,,"$7,520.00",,,,,,,,,,,"$48,199.00",,,,,,"$1,368.00",,"$217,149.00","$5,825.00","$159,836.00","$297,921.00","$95,734.00",,,2015-01-01,2015-03-31,,S8MN00438,,,,,,,,,,,,,,,,,,,,,
AL FRANKEN FOR SENATE 2014,http://images.nictusa.com/cgi-bin/fecimg/?C00480384,Q2,S,A,Q,PO BOX 583144,MINNEAPOLIS,MN,55458,THOMAS H BORMAN,C00480384,2016,,,,,,,,,,,,,,,,,,,,,$2.00,"$53,378.00",,"$78,058.00",,,,"$53,375.00",,,,,,,,,,,,,,,,,,,"$78,058.00",,"$24,683.00","$95,734.00","$71,054.00",,,2015-04-01,2015-06-30,,S8MN00438,,,,,,,,,,,,,,,,,,,,,
AL GREEN FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00396028,Q1,H,P,Q,P.O. BOX 56761,HOUSTON,TX,772566761,"LAWSON, WILLIAM A.",C00396028,2016,"$27,231.03","$1,025.00","$28,256.03","$1,993.00",,"$17,100.00",,,"$45,356.03","$1,993.00",,,,,,,,,,,,"$45,356.03",,"$47,823.70",,,,,,,,,,,,,,,,,,,,,"$8,250.00",,"$58,066.70","$43,363.03","$47,823.70","$214,732.92","$202,022.25","$61,398.34",,2015-01-01,2015-03-31,,H4TX09095,,,,,,,,,,,,,,,,,,,,,
AL GREEN FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00396028,Q2,H,P,Q,P.O. BOX 56761,HOUSTON,TX,772566761,"LAWSON, WILLIAM A.",C00396028,2016,"$58,750.00","$1,700.00","$60,450.00",,,"$2,100.00",,,"$62,550.00",,,,,,,,,,,,,"$62,550.00",,"$22,563.43",,,,,,,,,,,,,,,,,,,,,"$15,346.72",,"$37,910.15","$62,550.00","$22,563.43","$202,022.25","$226,662.10","$61,398.34",,2015-04-01,2015-06-30,,H4TX09095,,,,,,,,,,,,,,,,,,,,,
AL LAWSON FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00460261,Q1,H,P,Q,400 NORTH ADAMS ST.,TALLAHASSEE,FL,32301,"SESSION, JOHNNY FRANK",C00460261,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-$18,680.78","-$18,680.78","$25,458.34",,2015-01-01,2015-03-31,,H0FL02086,,,,,,,,,,,,,,,,,,,,,
AL LAWSON FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00460261,Q2,H,P,Q,400 NORTH ADAMS ST.,TALLAHASSEE,FL,32301,"SESSION, JOHNNY FRANK",C00460261,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-$18,680.78","-$18,680.78","$25,458.34",,2015-04-01,2015-06-30,,H0FL02086,,,,,,,,,,,,,,,,,,,,,
ALAN LOWENTHAL FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00498212,Q1,H,P,Q,"6380 WILSHIRE BLVD., #1612",LOS ANGELES,CA,90048,"LEIDERMAN, JANE",C00498212,2016,"$44,125.00","$5,557.00","$49,682.00",,,"$49,000.00",,,"$98,682.00",,,,,,,,,,,,,"$98,682.00",,"$27,316.39",,,,,,,,,,,,,,,,,,,,,"$16,000.00",,"$43,316.39","$98,682.00","$27,316.39","$357,884.08","$413,249.69","$2,713.49",,2015-01-01,2015-03-31,,H2CA00104,,,,,,,,,,,,,,,,,,,,,
ALAN LOWENTHAL FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00498212,Q2,H,P,Q,"6380 WILSHIRE BLVD., #1612",LOS ANGELES,CA,90048,"LEIDERMAN, JANE",C00498212,2016,"$26,775.00","$1,667.32","$28,442.32",,,"$59,000.00",,,"$87,442.32",,,,,,,,,,,,,"$90,442.32",,"$35,908.21",,,,"$3,000.00",,,,,,,,,,,,,,,,,"$14,000.00",,"$49,908.21","$87,442.32","$32,908.21","$413,249.69","$453,783.80",$460.51,,2015-04-01,2015-06-30,,H2CA00104,,,,,,,,,,,,,,,,,,,,,
ALASKANS FOR BEGICH 2014,http://images.nictusa.com/cgi-bin/fecimg/?C00458059,Q1,S,P,T,1231 W NORTHERN LTS #605,ANCHORAGE,AK,99503,CONNIE SANDERS,C00458059,2016,,,,,,,,,,,,,,,,,,,,,,"$47,114.00",,"$33,832.00",,,,"$47,114.00",,,,,,,,,,,,,,,,,"$25,150.00",,"$58,982.00",,"-$13,281.00","$19,416.00","$7,548.00",,,2015-01-01,2015-03-31,,S8AK00090,,,,,,,,,,,,,,,,,,,,,
ALASKANS FOR BEGICH 2014,http://images.nictusa.com/cgi-bin/fecimg/?C00458059,TER,S,P,T,1231 W NORTHERN LTS #605,ANCHORAGE,AK,99503,CONNIE SANDERS,C00458059,2016,,,,"-$2,620.00",,,"-$1,000.00",,,"-$3,620.00",,,,,,,,,,,,"$4,867.00",,"$6,508.00",,,,"$4,867.00",,,,,,,,,,,,,,,,,"$3,620.00",,"$6,508.00","$3,620.00","$1,641.00","$7,548.00","$5,907.00",,,2015-04-01,2015-06-30,,S8AK00090,,,,,,,,,,,,,,,,,,,,,
ALASKANS FOR DAN SULLIVAN,http://images.nictusa.com/cgi-bin/fecimg/?C00570994,Q1,S,P,Q,3705 ARCTIC BLVD #447,ANCHORAGE,AK,99503,JULIA C MILLER,C00570994,2016,"$35,400.00",$505.00,"$35,905.00",,,"$46,000.00",,,"$81,905.00",,,,,,,,"$2,000.00",,,,,"$83,905.00",,$217.00,,,,,,,,,,,,,,,,,,,,,,,$217.00,"$81,905.00",$217.00,,"$83,688.00",,,2015-01-01,2015-03-31,,,,,,,,,,,,,,,,,,,,,,,
ALASKANS FOR DAN SULLIVAN,http://images.nictusa.com/cgi-bin/fecimg/?C00570994,Q2,S,P,Q,3705 ARCTIC BLVD #447,ANCHORAGE,AK,99503,JULIA C MILLER,C00570994,2016,"$38,450.00",,"$38,450.00",,,"$14,000.00",,,"$52,450.00",,,,,,,,"$19,976.00",,,,,"$72,426.00",,"$77,761.00",,,,,,,,,,,,,,,,,,,,,,,"$77,761.00","$52,450.00","$77,761.00","$83,688.00","$78,352.00",$846.00,,2015-04-01,2015-06-30,,,,,,,,,,,,,,,,,,,,,,,
ALASKANS FOR DON YOUNG INC.,http://images.nictusa.com/cgi-bin/fecimg/?C00012229,Q1,H,P,Q,2504 FAIRBANKS STREET,ANCHORAGE,AK,99503,ROBERT J. BOHNERT,C00012229,2016,"$42,800.00","$4,550.00","$47,350.00",,,"$41,250.00",,,"$88,600.00",,,,,,,,,,,,$82.60,"$89,252.58",,"$55,600.76",,,,$569.98,,,,,,,,,,,,,,,,,,,"$55,600.76","$88,600.00","$55,030.78","$488,220.12","$521,871.94",,,2015-01-01,2015-03-31,,H6AK00045,,,,,,,,,,,,,,,,,,,,,
ALASKANS FOR DON YOUNG INC.,http://images.nictusa.com/cgi-bin/fecimg/?C00012229,Q2,H,P,Q,2504 FAIRBANKS STREET,ANCHORAGE,AK,99503,ROBERT J. BOHNERT,C00012229,2016,"$92,302.77","$2,960.88","$95,263.65",,,"$41,953.99",,,"$137,217.64",,,,,,,,,,,,$56.38,"$137,274.02",,"$111,704.96",,,,,,,,,,,,,,,,,,,,,$500.00,,"$112,204.96","$137,217.64","$111,704.96","$521,871.94","$546,941.00",,,2015-04-01,2015-06-30,,H6AK00045,,,,,,,,,,,,,,,,,,,,,
ALEX LAW FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00569335,Q1,H,P,Q,204 HILLCREST AVENUE APARTMENT A,COLLINGSWOOD,NJ,8108,"KOHLI, RISHAV MR.",C00569335,2016,$600.00,"$1,660.00","$2,260.00",,,,,,"$2,260.00",,"$3,600.00",,,,"$3,600.00",,,,,,,"$5,860.00",,"$4,228.09",,,,,,,,,,,,,,,,,,,,,,,"$4,228.09","$2,260.00","$4,228.09","$1,496.96","$3,128.87","$3,600.00",,2015-01-01,2015-03-31,,H6NJ01188,,,,,,,,,,,,,,,,,,,,,
ALEX LAW FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00569335,Q2,H,P,Q,204 HILLCREST AVENUE APARTMENT A,COLLINGSWOOD,NJ,8108,"KOHLI, RISHAV MR.",C00569335,2016,,$668.74,$668.74,,,,,,$668.74,,,,,,,,,,,,,$668.74,,"$3,013.45",,,,,,,,,,,,,,,,,,,,,,,"$3,013.45",$668.74,"$3,013.45","$3,128.87",$784.16,"$3,600.00",,2015-04-01,2015-06-30,,H6NJ01188,,,,,,,,,,,,,,,,,,,,,
ALEX SINK FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00551226,Q1,H,P,Q,PO BOX 219,THONOTOSASSA,FL,33592,JENNIFER MAY,C00551226,2016,,,,"-$6,297.66",,,,,,"-$6,297.66",,,,,,,,,,,,,,"$8,538.29",,,,,,,,,,,,,,,,,,,,,"$1,800.00",,"$4,040.63","$6,297.66","$8,538.29","$51,502.37","$47,461.74",,,2015-01-01,2015-03-31,,H4FL13093,,,,,,,,,,,,,,,,,,,,,
ALEX SINK FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00551226,Q2,H,P,Q,PO BOX 219,THONOTOSASSA,FL,33592,JENNIFER MAY,C00551226,2016,,,,,,,,,,,,,,,,,,,,,,,,"$5,534.52",,,,,,,,,,,,,,,,,,,,,,,"$5,534.52",,"$5,534.52","$47,461.74","$41,927.22",,,2015-04-01,2015-06-30,,H4FL13093,,,,,,,,,,,,,,,,,,,,,
ALEXANDER FOR SENATE 2020 INC,http://images.nictusa.com/cgi-bin/fecimg/?C00383745,Q1,S,P,Q,228 S WASHINGTON STREET SUITE 115,ALEXANDRIA,VA,223145404,KEITH A DAVIS,C00383745,2016,"$6,400.00",$200.00,"$6,600.00",,,"$17,100.00","$2,500.00",,"$23,700.00","$2,500.00",,,,,,,,,,,$19.00,"$24,885.00",,"$161,770.00",,,,"$1,165.00",,,,,,,,,,,,,,,,,,,"$164,270.00","$21,200.00","$160,605.00","$282,489.00","$143,104.00",,,2015-01-01,2015-03-31,,S2TN00058,,,,,,,,,,,,,,,,,,,,,
ALEXANDER FOR SENATE 2020 INC,http://images.nictusa.com/cgi-bin/fecimg/?C00383745,Q2,S,P,Q,228 S WASHINGTON STREET SUITE 115,ALEXANDRIA,VA,223145404,KEITH A DAVIS,C00383745,2016,"$6,000.00",,"$6,000.00",,,"$17,000.00",,,"$23,000.00",,,,,,,,,,,,$20.00,"$52,345.00",,"$22,029.00",,,,"$29,324.00",,,,,,,,,,,,,,,,,,,"$22,029.00","$23,000.00","-$7,295.00","$143,104.00","$173,419.00",,,2015-04-01,2015-06-30,,S2TN00058,,,,,,,,,,,,,,,,,,,,,
ALINA VALDES FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00578252,Q2,H,P,Q,PO BOX 823297,PEMBROKE PINES,FL,330823297,ALINA IRENE VALDES,C00578252,2016,"$1,000.00","$1,390.00","$2,390.00",,,,,,"$2,390.00",,"$9,300.00",,,,"$9,300.00",,,,,,,"$11,690.00",,"$9,500.46",,,,,,,,,,,,,,,,,,,,,,,"$9,500.46","$2,390.00","$9,500.46",,"$2,189.54","$9,300.00",,2015-04-01,2015-06-30,,H6FL25027,,,,,,,,,,,,,,,,,,,,,
ALISON FOR KENTUCKY,http://images.nictusa.com/cgi-bin/fecimg/?C00547083,Q1,S,P,Q,628 WEST HIGH STREET,LEXINGTON,KY,40507,ROBERT C STILZ III,C00547083,2016,,,,"$1,200.00",,,,,,"$1,100.00",,,,,,,,,,,,"$19,905.00",,"$45,721.00",,,,"$19,905.00",,,,,,,,,,,,,,,,,,,"$46,821.00","-$1,100.00","$25,816.00","$150,666.00","$123,749.00",,,2015-01-01,2015-03-31,-$100.00,S4KY00091,,,,,,,,,,,,,,,,,,,,,
ALISON FOR KENTUCKY,http://images.nictusa.com/cgi-bin/fecimg/?C00547083,Q2,S,P,Q,628 WEST HIGH STREET,LEXINGTON,KY,40507,ROBERT C STILZ III,C00547083,2016,,,,"$5,836.00",,,,,,"$5,836.00",,,,,,,,,,,,"$2,375.00",,"$10,261.00",,,,"$2,375.00",,,,,,,,,,,,,,,,,,,"$16,098.00","-$5,836.00","$7,886.00","$123,749.00","$110,027.00",,,2015-04-01,2015-06-30,,S4KY00091,,,,,,,,,,,,,,,,,,,,,
"ALLAN LEVENE FOR CONGRESS, HAWAII COMMITTEE",http://images.nictusa.com/cgi-bin/fecimg/?C00567289,TER,H,P,T,4290 BELLS FERRY RD SUITE 106-574,KENNESAW,GA,30144,ALLAN LEVENE,C00567289,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-01,2015-01-16,,H2GA11180,,,,,,,,,,,,,,,,,,,,,
